,id,file_path,document_page_type,text,file_name
0,1.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/0000141126.txt,samples,"‘ nu/ mm
‘4, v nunswlluﬂ-IHW m.~...u.a.u.xm.,.u,amm lmmlunnznwwmx vulnannmv m... n
, mu... m .. M um... um. u.“ “mm""...uum “and“;
I nun—éawéuwﬁrmglm wuwﬂﬂyum. uurummn
i m?L”E‘ﬁ“£ﬂ“-‘r hmumuu “u""‘um..m.;#_._. “we” crux
, ._-.....,._._-.u_..,r~_ “w...“mmm- “mum-u mm n—mw w m u.
u “m...“ .. .._ m MM"" .u...,u..,,.u.u.um. nu...“ u:
gmmam-mm “' ""“ ﬂaw-mhmhmmzmrrg-gr mt:
~ . mummuﬂummmm u..._M_...._m._...u..u. a
J mam. mm....u,_.um..u.._m mu um um m.wmmuu._._'=-.:
r rug-mmmmm-uh-ummmﬂ _-,.:::~._W.u:wu';;ﬂa=.—~wm=
, u. k...__...m..u___._..~ u....u._..u..__r....r.u.u.u .
ummmmmﬂuuu ﬁu:.,m:;uuhu_m§,_:=
m. m. m. . _ mmmmww 57.1.5: —;:~.:r.:‘u:mm:«.~=
uumuuwkuww Thupumﬂ ""1s: ,,,,_,, uu_ ,
L~.,m,__._f_‘;""""“ugr.3....""'-..u...lz~u..m5_._n.w_m w.“ Mu. mu.""- W..."" humuﬁ
mavtuﬂmr; mvfwmuwm “mmﬁw ”Tamra-0: ruuu‘muu.“
mﬁw “Jab- h-""L trwmwr Amati? mzﬁ-amﬁ
m.“ mm mm um“. N n. n- n u . u zrwawmmmrdz'ma
""ammmmm-summmmm ""..Mm. mm“ ""‘
mumun:m_hmmaxw WNW. Mm m;,-.uwxw1""-._'»
l—w—uw ""mm-""h ~~:.‘.:2.‘:;:m.r:.~afa; mur-
lu-n wmln Ilmuhmfnhllhlk s: W mumanuxmhh\mam.—.“
am” a"": 5m: “nﬂmm-mg ~ ""er"" M..-“ - -:.~:'u':;.-.;"":.Lm-.u~_m=
-...:1.~xr:=..’~: a: m‘ﬁmﬁmww .; www-um-wm ""‘
mu“. hr. mum—mu, —--‘--~ ""mm m um:.M-*..uu:a~:n_=u;a.'z::
""mm...“ ......_..,. M m zxx-zmnﬁu'wxammmm
hmwmmmmwww a... umwﬂmnmmmwumw -
Eran""; rm-f.‘ 1mm a $7; ""ﬁg-ﬁr 11.""- '-.‘~.....""""u’,'u‘: at: “- --'=
mm“. Mh‘:_a_.m~.t‘..ﬂ_ mum‘:m‘h.r_=uw-u~¢:rz:
“M._.,__u_~_mu._ mm M..__..-_.u_..._.._..u__
m wmwnm._.,_.._..~_.
m m“ m"", m...“ u, “h _, mwuummnﬂmuwwmu
mam-5 may“ ”ﬁguﬂmm WWW... mm,"" m u. u w ., um
my, mum can.--“ anﬁheyguum-mumzh
Tuna"": Mﬁwumw—am Mm , ' mm mm. mmuzsm-q-E
mn-I-mn—uﬁuauw it""ﬁwmmumnimm'umum.
n..mmw..,...,u_uu ”mum,"" .._ wwwm
........umuuuwm . mm. Mum “ m, mm, ._._ u u u __ . u ..
mam-""53m: mmmgwreum “ma “Rum“ mm,“ u-Jé‘g; ﬁrmmmr:
_ “fwz‘mm‘amﬂﬁ‘ ""awn”ﬁ mm an“ ”$75 mm u m. m, mm ::
' ...-.4 m. .. m» m nu... Inn-AM man-4 w a...“ 32.1135” “513"" umﬂ'um-k mm""—
......uu......umu.m ﬂu.,u.-..m._--u,m_mu_
um “um . u... u. .. u u . u. mu mu ”Mum“ u. u...“ mum...
mm“ “war"": : “swag “ﬁx-""mm: ""M ,..,.,.
managnmm rum: 3M;__..:*_ .:- gn; m-s wafﬂe; “gm; .: 1: ct
- m— ~ mu «m mm mm m mum-1mm - .:;. mam. mew-PW.“ u can“. u .... mm.
mm magnum“. ”mu“... m. 21:“'""°1“'""“ mummmmﬁz
m7“,“ﬁ‘fin‘EmE-z-unmmmmi “ﬂi‘ﬁﬁf'ﬂﬁ'fﬂ'w‘mﬂﬂ“31:94:31:
mu""??? “af- 3 ""‘ sum mum-h: mammmwwmwm: a“, .:1 m
Mum... ‘m mam-Rm M- mm m; m ) “mm“ M _ N ==1
""ﬂzarsararmr'r mm"" mm: ‘u‘m‘ﬂ h-u:'.';;:-uuz-m.u., um .,‘ _ ...
ﬂow u u..u.m.:m..,~_:uc:“m, ant- a» » ~~~~~w w w"" w w ""mm-“a“ rt; 3. .. e
mu.“ m. mwm mum-n uulv m... ww “- u A; .., W m"" “ﬂ-srmz‘lgtmtuw. ._ c
_._.u .. Wk Mu u. om."" Mu... _ man: ﬁrm."" ""W ""‘ '
-u...“..._u.u_,uu...‘ mm»..- , W m
u... WM. .,.u , .._,‘..,;m.(,m;u.u.m_uu.s “mum“ m
ﬂawsammu ax-uatrrf-auzanuraam: ~ ~- m~m°~';;: v‘zmgmﬁmmna m
mmmmuh u...,m...u....‘..w Mum“. mum“ nu;“.m~._u..mu.u.._._,_-
1m x-;:.::;-uxur.~r.wumama-W _ .. u, .. a M .. _ :: 1;,.. . ""‘ ‘
Ex vagmmwm ww-wwwm-u ;.::.:-,:.~_-.r..'unm;wu:ﬁ ru‘
My.“ u.......... - u.._. um mu."" .. uu. ., _ .
WWW“, u. Mum.“ mm... u. . mm mas-""1:1"".-
-'""u.<“"";w ram-y; 5.2 mug-m: main“: 5:3“. 5:3: r.,. u. _ u; ,
Ill:um-<‘-l1--wm mommy m‘. DWI-min“ mm - m u“ m. — w -m .... nu a - n
",0000141126.txt
1,2.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/00001168.txt,samples,"ARCHIVE LOCATION SHEET
ms unmask (was) mama/twig:
REPRESENTS [CHECK ONE]:

( Y ) OVERSZE DDDUMENYS

1 ) AUDIO YAPE(S)

( ) VIDEO TAPE(S)

( ) sums)

( ) MICROP‘CHE

( ) OTHER (nsscmss) —

ma
",00001168.txt
2,3.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/2023702624.txt,samples,".
._ _ Putin-iffy
How SCIENCE AND POLITICS
COLLIDED AND
BALANCED REPORTING
WAS THE CASUALTY.

‘ mum- “add-ml"" ﬁlm-para!“ ﬂzcllml-m
.mm...“mmwmwmmwmmw
.WWWm...m..mmm.m...m,

7, ,, “'""""3Mv""‘:i~)// ,,,/»Jf ”""

« :_'::::.W~“‘""'_' M""— m.”— ﬁ‘wﬁy—ﬁm1?$ 31.""
”I“ -~ “Maw-1: w A fawn—m: :,...-
:L-- ___.., — u.» :— 3~___...-.-— “a.""-
‘HE wﬂrizf-i—""H “5:51:55; ""rm ﬂﬂ'ﬂl‘h‘ﬁiﬁ ivy
$5153, vsfqyz-Jzijxx-‘ﬂa (Aviva 7-11.15“ .-.-.:::5-i-::::L':::;L mm
ﬁza- wwwuwra- -:.~«~4“ mum”. w W
""51111 graxfﬁﬁm1 —- l,,.¢;—:,—: ”rum-'- ”Mfg-gm
3“ aggﬂgaugxa- Aa:gg;~;;;:§3 mm”? “5:27AM""
‘-“-'--‘- rm: :~;:::'5:::7—'«~;_1; oﬂzumr-“mx. ﬁnk-4m. dnmjuuimun
2:5; ‘§;‘:;1CCJ;:::{3;;L ﬁcnzﬁszﬂ'ﬁqrﬂ 111-7“ '.“..::A.:L“- ,,,A,..,,,mmw
WWI; Fiﬁ-$3“ W“ ”ff-MT}: r“ 173?{;::::‘“;«-w-; m:
1135.3"" aniﬂmﬂxil nggwﬁ ffwsr-""i’fﬁf-T“ m!
arm; rmwzﬂﬁ -%ﬁ$w=‘gi~$ =:_~--_~;;:‘J&T-= raw.
mar: E¢:x-“=:::ﬂ—;= Exﬂﬁvfﬁ‘ﬂ: an?“ m-
w—mw _.-m“-:.-u;1..m _mn""""‘.-— “M- __..h_.m-,;-‘;g:; ,
rm: _~s-~~:-»;:~1:31r:-'~‘5"":. Bat—“5mm ms:-
""ft-“$51 ‘i'ﬁzn‘u'ﬁ-m"": T-’-‘:::‘—’«“Er..:=ﬁf: anamwzzrfs.’ xx"".
11:32:33 7:29..erka zanzmkmm— zm'dt‘letm‘: “IE.
$152,151 Afﬂfz‘ﬁ'r‘: ﬁrﬁmﬁ iff'ﬁztﬂi; ”is
£35"": war-”mi: Arr-Ema mM—zzﬁ“ u:
1:11:21? ﬁzsr-""ﬁE-wz'ﬁ:= fear-""mynw :m::'“’ M

‘ h:;l‘:‘1:nllmffm~ w m-N“ ,...._

A ‘L QM / ,,

,,—»— J‘, 17V!"" '~
""M’— f .n:.~=.~;)

mm. mm, mm. mm... “Lia‘mm'zz‘t'wzﬁazzuzrmm Z'Jﬂémzmltﬁ N

""""“ m "" ""'""‘ ""‘ ﬁxmnmmm::t.::=.mam;~ ""““”‘ ""“ """" “- a

w

~Az a

ma: N
\ umwzwmammﬁm E ‘
",2023702624.txt
3,4.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/0000031285.txt,samples,"l i

,

/ \.

FIFTH
ANNUALKCDLGOLF
CLASSIC
1981
HOST CHAMOWRO 3015tu
x
T
, 7 \
y \
TITLE ML 7141an 5446-7365 RETURN
Jog/ana‘a-z A.“ To
ILLUS. x: “mm“; -
COMPLETED/24h” sww - Wm“ u
SCALE s: - Wﬁ“
WARNING awn - a W i
_soA|NA w - Aaz‘fsllijffr'
_— WM “
650029753
K ""'—— ' ﬂ '
",0000031285.txt
4,5.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/86440918.txt,samples,"I > fig/3
- 954 Q\,_
I 3-4 l‘f vi? 21/4
5 g M a 3 Q
, I 'v'_ 1
1 y I bf” i\>
N‘ ”L m
«R £7,272 m
0 7 "" f‘ /
H¥7 W""!
",86440918.txt
5,6.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/00000341_00000343.txt,samples,"THE TOBACCO lNSTlTUTE
CHECK REQUEST
DATE“ Nmmbn 12, 1995 AMOUNT 315.96
PAY To Dnﬂ'imﬁ
p 0. Box 99731
014-1101“. cny, on 71199
EXPLANATION
Mnmhly xnbscriplion 1,111
nlsmmlrnoN on CHARGES
cos-r ACCOUNT PROJECT
CENTER NUMBER CODE 1099 on USE TAX AMOUNT
NUMBER
m row -—“
GRANDTD’I‘AL m

Requested by Appmfed By: .

Mnil Check us Vendor yes Rmm Check To: m no“ 0000341

. CONFIDEN‘I‘IAL:

SpemFy DATE check is to be mnled: 11/23/95 TOBACCO LITIGATION

You mun ﬁIHn m Requuted By mi Appmm Hy rum berm ynn lend «111: rm- to

lttonnllnl
",00000341_00000343.txt
6,7.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/92203104.txt,samples,"4—- » gm stim-

‘(er [15371 ”erg/1 ’

‘ J «343 .

| & t” ':i“""v )j “3.7-4:
' ”vi Z

,; \{;z _, ‘. .. A I

7 g _;:

,, , a?“ .;

- Mam-4 v . .
",92203104.txt
7,8.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/2061163253.txt,samples,"7a...“ Lem, gar *
, m"" “w““mm 235?
A» ‘ «Nahum... HE
\ . \
ﬂ' ’
‘ W, ,
/ Wu..q,....~...,.,\Mm I
. ‘ , "".a;'.“..............
l
I
It,
I
z . i ’ ‘ﬂji:ﬂ;ﬁ¢;}l‘:«:.......1. L»: 31.3... v
Mm h» 21 or own w mu mm. ‘ ,
”ma "" ' :.: ”inf-[3.5
1mm mums wmms m...
' ""mm 1
MW... m. MW M... J
an .
771"" __..3‘—5 ~ D
2061153253
",2061163253.txt
8,9.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/502605400+-5400.txt,samples,"' 7s
‘ .
‘ w 4.1 {y- f/u//f_ 07—1110
{ ""if?” _ w
l ’ ’;‘_),/\“_. ‘ _.
3 ‘
. “f“rﬁv '
f! v}; ""Ami: '\ , 3
o _.,..,Q;AAL‘._4A- Md...“ ,
/
",502605400+-5400.txt
9,10.0,/home/ila/Documents/repos/python-works/artificialintelligence/machine_learning/doc_classification/classifydata/ocr_samples/samples/2084427699_7700.txt,samples,"“V“ ,_:,:~;1-~—-,.., ::v-,,~~'~A,,..;:w~ --.., '
""'7$§§2;::::§531722:::?~ f“ ”1:3
7a an * V~~~»w--:::: w;
W. V'VV-mww ls"" pm wr , H
‘"" .~! fiiuzsék’waﬁux ii» ;
' ‘ ‘é'f'v'fa‘:::::-”—'—'~@ff:::~f V__ <_-~___,;§'|s.
V. tigi—CZZszfﬁ; ”“Vtt'gﬂ ”Warm “Z;
;:{£§5—‘~“::::::: ”W’WCTA“ — 251?
‘ V ~-‘"":"":::‘V ~~~—iI:::::;:;,~ ,-<'
’ “E 555325713t7 3:7' ﬁt} I“ 355331723 77 2:3""-
‘222 '~:‘%3:::‘“:'.""qu mii:7:--—Z""'LV: W-
- a 3:1“11‘s/w“ -§§‘<-w ;:-:::~~»‘»~. tight;
PVT-$155: Vhﬁm~yﬂ;;‘.. ‘Vf::««;“:§~§§:_z:::: f ‘
Y- ”:r"" ‘i' ~~~:::”T:: ,§§::::‘:1'”‘~-
7.2- (ff—“3554.1"":""Vf‘15'5‘: “fffi‘fgf-ff'ié, ‘ 3
ﬂ“? «21222::‘V ~--: «~-\:::,;;¢‘: ,
ff§§»~::::::f5!§’zfi:§~ m9,"" »-:r-;;-w gr“;
‘ “f “753552124
V; 2: "" “12:3 __ 5.“ ; : :].:_,:55Ef :_;,Z: :-:; V? 5 : : 3 ,-_ ~ a; 5. j“
.' 313:::,::3333:~ 1:3? fo§V::z;Zu-_§Z: 51:7
A .,...,m_~::~_.m w ‘__‘.___,.l 5”
“fggf'i:::f’1:§-~-¥!: :-¥‘§..~ ‘4:::--—~_:t “was;
4 “‘::~-w‘232:::; :‘ ': 3-93: 7:1
1,3! ;.:‘ “132533553553 7 t-ﬁigxfaffffffjggﬁﬂI
<‘f1;f:';;':; i?“’ﬁ :~L1"":r-;w:~;""§:7::51 a: »
trifhw lgrjﬁiﬁb‘ivﬁgn_n
, 3 32,7,MM»V:D;;»M-'t:x:;:§
~—'£:T,35:5>33}::<‘J::E:V:TJZIV1f:::-_:v::n a; (
{V} ‘ ""£2“ w“,g33 a ”in- z: ‘1 z} ' g a j
~~ “mum ‘::V~~ u~»v,:::-Vw u «
53- wfﬁzza «Mm; “max? A r.
~ L V 5 t :: ﬁw-ﬁw’éﬁ anxﬂwfﬁﬁﬁwiiqﬂe émfvvwfiﬁfﬁ {E $er 3 ;. ﬂ pi :;
~ - M». “3mm“may33:11,»unuwgrzz{Mrmmua-mu.H4""? ...,
, -, ~ 5 w. m (mumamm huh-3m - Jwﬂﬂwm m 79 mm- - .; "" “, EV- ~,
' LEM “u «awn-w;u“Jaw-waxwwagrmnmmmpf r c: M“:
; 514 t» 1Qﬁéiiﬁ~kﬁiwLiaimwﬁiw“$4,453: ”153...”
a mt .. w” w: «yawn: VV : w ._,,...~ 4-
- .;;3 Vt: fwwfwﬂiﬁwégﬁg' ”3 ”f""
, tr,” ‘ ‘ ‘iV-w; ” ""tip, .- -‘1.:«~ -:
1 ' 11 T nﬂkmﬁyggagﬂgfggggﬁggm; ﬁWﬂME: : 3 g 2
"" ' 7‘ 31755? ~ 457? r: v J'VTfTJ- vu, ; zi 5 f""-L""-‘M.'""Z”E<‘ . a 5 z
",2084427699_7700.txt
