1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,
Global,33 300 000,[31 400 000 - 35 300 000],28 600 000,[27 100 000 - 30 300 000],30 800 000,[29 200 000 - 32 600 000],26 700 000,[25 400 000 - 28 000 000],0.8, [0.7 - 0.8],0.8, [0.7 - 0.8],15 900 000,[14 800 000 - 17 200 000],13 600 000,[12 900 000 - 14 700 000],2 500 000,[1 600 000 - 3 400 000],2 000 000,[1 200 000 - 2 700 000],0.6, [0.5 - 0.7],0.3, [0.2 - 0.3],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],2 600 000,[2 300 000 - 2 800 000],2 200 000,[2 000 000 - 2 400 000],1 800 000,[1 600 000 - 2 100 000],1 800 000,[1 600 000 - 2 000 000],16 600 000,[14 400 000 - 18 800 000],10 000 000,[7 900 000 - 12 500 000],...,...,...,...,...,...,
Angola,200 000,[160 000 - 250 000],140 000,[110 000 - 190 000],180 000,[140 000 - 220 000],130 000,[100 000 - 170 000],2.0, [1.6 - 2.4],1.9, [1.4 - 2.4],110 000,[85 000 - 130 000],77 000,[59 000 - 100 000],22 000,[12 000 - 35 000],14 000,[6900 - 24 000],1.6, [1.1 - 2.2],0.6, [0.4 - 0.9],0.21, [0.14 - 0.28],0.22, [0.17 - 0.28],22 000,[16 000 - 29 000],17 000,[12 000 - 23 000],11 000,[7700 - 16 000],10 000,[6500 - 14 000],140 000,[95 000 - 200 000],65 000,[30 000 - 110 000],...,...,...,...,...,...,
Benin,60 000,[52 000 - 69 000],50 000,[42 000 - 62 000],55 000,[48 000 - 63 000],47 000,[40 000 - 56 000],1.2, [1.0 - 1.3],1.4, [1.2 - 1.7],32 000,[27 000 - 37 000],27 000,[23 000 - 33 000],5400,[2900 - 7800],3100,[1600 - 6600],0.7, [0.5 - 1.1],0.3, [0.2 - 0.4],0.10, [<0.10 - 0.13],0.11, [<0.10 - 0.15],4900,[3400 - 6500],4000,[2700 - 5400],2700,[1800 - 3700],3100,[1900 - 5200],30 000,[18 000 - 53 000],13 000,[5100 - 100 000],2009,4.2,2009,24.7,...,...,
Botswana,320 000,[300 000 - 350 000],270 000,[250 000 - 290 000],300 000,[280 000 - 330 000],260 000,[240 000 - 280 000],24.8, [23.8 - 25.8],26.3, [25.5 - 27.4],170 000,[160 000 - 190 000],150 000,[140 000 - 160 000],16 000,[9900 - 20 000],14 000,[7800 - 19 000],11.8, [9.0 - 15.9],5.2, [3.7 - 7.3],1.56, [1.11 - 2.27],3.03, [2.64 - 3.48],14 000,[10 000 - 20 000],13 000,[9400 - 19 000],5800,[2300 - 14 000],15 000,[12 000 - 18 000],93 000,[71 000 - 120 000],56 000,[45 000 - 72 000],...,...,...,...,...,...,
Burkina Faso,110 000,[91 000 - 140 000],140 000,[120 000 - 180 000],93 000,[77 000 - 120 000],120 000,[99 000 - 150 000],1.2, [1.0 - 1.5],2.1, [1.7 - 2.5],56 000,[44 000 - 70 000],73 000,[60 000 - 92 000],17 000,[8100 - 25 000],24 000,[12 000 - 37 000],0.8, [0.6 - 1.2],0.5, [0.3 - 0.6],<0.10, [<0.10 - 0.11],0.11, [<0.10 - 0.16],6800,[4300 - 11 000],5000,[2800 - 7900],7100,[4800 - 9700],15 000,[11 000 - 19 000],140 000,[100 000 - 170 000],140 000,[100 000 - 190 000],...,...,2005,16.3,...,...,
Burundi,180 000,[160 000 - 190 000],170 000,[160 000 - 190 000],150 000,[130 000 - 160 000],150 000,[140 000 - 160 000],3.3, [2.9 - 3.5],5.0, [4.8 - 5.1],90 000,[78 000 - 100 000],90 000,[81 000 - 99 000],28 000,[17 000 - 40 000],26 000,[16 000 - 36 000],2.1, [1.6 - 2.7],1.0, [0.8 - 1.2],…, [0.17 - 0.28],…, [0.34 - 0.47],…,[11 000 - 17 000],…,[7000 - 11 000],15 000,[12 000 - 17 000],14 000,[12 000 - 17 000],200 000,[170 000 - 230 000],130 000,[110 000 - 160 000],...,...,2007,39.8,...,...,
Cameroon,610 000,[540 000 - 670 000],480 000,[430 000 - 530 000],550 000,[500 000 - 610 000],440 000,[400 000 - 490 000],5.3, [4.9 - 5.8],5.5, [5.1 - 6.0],320 000,[290 000 - 370 000],260 000,[230 000 - 290 000],54 000,[29 000 - 78 000],33 000,[18 000 - 50 000],3.9, [3.1 - 5.4],1.6, [1.2 - 2.1],0.53, [0.43 - 0.61],0.59, [0.50 - 0.69],58 000,[48 000 - 67 000],48 000,[39 000 - 56 000],37 000,[29 000 - 46 000],31 000,[25 000 - 37 000],330 000,[270 000 - 420 000],140 000,[91 000 - 230 000],...,...,2009,35.5,...,...,
Central African Republic,130 000,[110 000 - 140 000],180 000,[160 000 - 220 000],110 000,[98 000 - 120 000],170 000,[150 000 - 200 000],4.7, [4.2 - 5.2],8.9, [8.1 - 10.6],67 000,[57 000 - 78 000],99 000,[86 000 - 120 000],17 000,[8200 - 25 000],17 000,[8600 - 25 000],2.2, [1.4 - 3.1],1.0, [0.6 - 1.4],0.17, [<0.10 - 0.25],0.56, [0.43 - 0.69],5200,[3100 - 7100],3600,[1800 - 5200],11 000,[8800 - 13 000],15 000,[12 000 - 20 000],140 000,[110 000 - 180 000],82 000,[54 000 - 120 000],...,...,...,...,...,...,
Chad,210 000,[170 000 - 300 000],140 000,[99 000 - 180 000],180 000,[150 000 - 280 000],130 000,[91 000 - 170 000],3.4, [2.8 - 5.1],3.2, [2.3 - 4.0],110 000,[88 000 - 160 000],76 000,[54 000 - 98 000],23 000,[12 000 - 35 000],13 000,[6400 - 22 000],2.5, [1.7 - 5.2],1.0, [0.7 - 2.0],…, [0.15 - 0.87],…, [0.39 - 0.55],...,[12 000 - 47 000],...,[8000 - 39 000],11 000,[8100 - 15 000],8900,[5400 - 13 000],120 000,[79 000 - 170 000],50 000,[26 000 - 91 000],...,...,2009,20.0,...,...,
Comoros,<500,[<200 - <500],<100,[<100 - <200],<500,[<200 - <500],<100,[<100 - <100],0.1, [<0.1 - 0.1],<0.1, [<0.1 - <0.1],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],…, [<0.10 - <0.10],…, [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,…,...,...,...,
