GINI index,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,29.12,,,,,28.15,,,33.03,,
Algeria,,,,,,,,,,,40.14,,,,,,,35.33,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,58.64,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,44.51,,,,,,45.35,,,,48.58,,49.84,,,,52.52,,,50.03,,
Armenia,,,,,,,,,,,,,,,,,,,44.42,,,36.01,,,35.66,33.8,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,35.19,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,29.148,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,34.96,,,,,,36.5,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,26.21,,,,30.63,,,,30.72,,,,,31.02,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,22.76,,,,,21.6,,,,25.62,30.28,,30.35,,29.73,,,27.92,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,32.9658,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,38.62,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,46.83,,,,
Bolivia,,,,,,,,,,,,,,42.04,,,,,,58.46,,57.79,,,60.24,,,58.19,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,28.03,,,35.78,,,
Botswana,,,,,,,,,54.21,,,,,,,,60.96,60.96,,,,,,,,,,,,
Brazil,,,,57.48,58.15,58.4,58.43,58.96,58.13,59.25,60.97,62.99,60.59,,57.37,59.7,,59.24,59.19,59.32,59.23,58.59,,58.69,58.23,57.61,,56.39,,55.02
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,23.43,,,,,24.32,,,26.38,,,,34.34,,29.24,,,,
Burkina Faso,,,,,,,,,,,,,,,,,50.71,,,,46.85,,,,,39.6,,,,
Burundi,,,,,,,,,,,,,,,33.33,,,,,,42.39,,,,,,,,33.27,
Cambodia,,,,,,,,,,,,,,,,,38.28,,,,,,,,,,41.85,,,40.69
Cameroon,,,,,,,,,,,,,,,,,,,46.82,,,,,44.56,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,32.562,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,50.52,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,61.33,,,,,,,,,,43.57,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,39.78,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,56.43,,,55.52,,,,55.19,,55.06,,55.74,,55.36,,,54.92,,,52,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.53,,
Colombia,,,,,,,,,,,,,,,,,,57.22,56.06,,,57.92,57.5,,,58.83,,,58.49,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.43,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,47.32,,
Costa Rica,,,,47.49,,,,,34.48,,,,45.66,,,46.28,,,47.08,,48.13,,46.6,49.96,,49.76,,47.23,,
Cote d'Ivoire,,,,,,,,41.21,,40.43,36.89,,,,,36.91,,36.68,,,43.75,,,,48.39,,,,,
Croatia,,,,,,,,,,,22.78,,,,,,,,,,26.82,27.71,,31.1,,,,28.99,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,19.4,,,,,29.04,,,25.82,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,24.7,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,36.77,,,,,,39.96,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,47.78,,,50.46,,,51.36,,,,48.71,,,,52.11,,,51.88,,49.97,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,50.49,,,,,,,52,,,,53.53,,,,,61.78,,53.65,,54.37
Egypt,,,,,,,,,,,,,,32,,,,,30.13,,,,32.76,,,,,32.14,,
El Salvador,,,,,,,,,,,,48.96,,,,,,49.86,52.25,,52.17,,51.92,,52.32,49.37,,49.7,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,22.97,,,,,39.5,,30.06,,,37.64,,37,,36.81,,36,,,
Ethiopia,,,,,32.42,,,,,,,,,,,,,39.96,,,,,30,,,,,29.76,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,26.88,,,,,,,
France,,,,,,,,,,,,,,,,,,32.74,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.45,,
Gambia,,,,,,,,,,,,,,,,,,,,,50.23,,,,,47.28,,,,
Georgia,,,,,,,,,,,,,,,,,,,37.13,,,38.05,,,40.31,,,40.78,,
Germany,,,,,,,,,,,,,,,,,,,,,,,28.31,,,,,,,
Ghana,,,,,,,,,,,35.35,35.99,,,38.13,,,,,,40.75,,,,,,,,42.76,
Greece,,,,,,,,,,,,,,,,,,,,,,,34.266,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,58.26,,59.6,,,,,,,,,55.65,,54.97,,55.34,,,,53.69,
Guinea,,,,,,,,,,,,,,47.15,,,40.3,,,,,,,,,43.34,,,,
Guinea-Bissau,,,,,,,,,,,,,,56.16,,47.84,,,,,,,,,35.52,,,,,
Guyana,,,,,,,,,,,,,,,,51.55,,,,,44.58,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: nonOECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,57.36,,54.51,,55.22,,,53.05,,51.5,,,,53.88,,56.71,55.31,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,43.43993658,,,,,,,,,,,
Hungary,,,,,,,,,,20.96,,25.05,,,,27.94,,,,,24.93,27.77,,,26.82,,30.04,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.41,,
Iran,,,,,,,,,47.42,,,,43.6,,,,43,,,,44.1,,,,,,,38.28,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,34.2768,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,39.1998,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,36.033146,,,,,,,
Jamaica,,,,,,,,,,,43.16,,42.2,,,35.67,,,40.47,,,44.22,,,48.34,,45.51,,,
Japan,,,,,,,,,,,,,,,,24.85,,,,,,,,,,,,,,
Jordan,,,,,,,,,,36.06,,,,,43.36,,,,,36.42,,,,,,38.87,,,37.72,
Kazakhstan,,,,,,,,,,,25.74,,,,,32.67,,,35.32,,,,,31.3,34.95,33.85,,,,
Kenya,,,,,,,,,,,,,,,57.46,,42.09,,,42.51,,,,,,,,47.68,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,31.59,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,47.66,,,,,53.7,,,,,35.98,34.6,,,31.67,,32.93,,,
Laos,,,,,,,,,,,,,,,30.43,,,,,34.91,,,,,32.63,32.63,,,,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,22.49,,,,,26.99,,,31.6,,33.62,,,,35.91,,35.73,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,56.02,,,,,,57.94,,63.16,,,,,,,,52.5,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.56
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,22.48,,,,,33.56,,,32.36,,30.21,,,,32.33,,35.81,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,30.760253,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,28.21,,34.44,,38.75,38.95,,,,
Madagascar,,,46.85,,,,,,,,,,,,,46.12,,,,,,41.81,,47.47,,,,47.24,,
Malawi,,,,,,,,,,,,,,,,,,,,,50.31,,,,,,39.02,,,
Malaysia,,,,,,,48.63,,,47.04,,46.17,,,47.65,,,48.52,,49.15,,,,,,,37.91,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,50.56,,,,,,,40.01,,,,,38.99,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,43.94,,,,,,50.05,,,37.29,,,,39.04,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,46.26,,,,,55.14,,,51.06,,51.89,,48.54,,48.99,,51.87,,49.68,,46.05,,48.11,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,24.14,,,,34.32,,,,,36.9,,36.86,,,36.87,,35.6,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,33.2,,,30.27,,,,32.84,,,33.03,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,39.19,,,,,,39.2,,,,,,,,39.46,,40.63,,,,,,40.88
Mozambique,,,,,,,,,,,,,,,,,,,,44.49,,,,,,47.11,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,74.33,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,37.67,,,,,,,,47.3,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,30.9,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,36.172026,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,56.38,,,,,53.85,,,50.3,,,,52.33,,
Niger,,,,,,,,,,,,,,,36.1,,41.53,,,,,,,,,,,43.89,,
Nigeria,,,,,,,,,38.68,,,,,,,44.95,,,46.5,,,,,,,,42.93,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,25.79,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,33.35,,,,33.23,,30.31,,,,28.65,,33.02,,,30.39,,,31.18,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,48.74,,,,,,,,,,,,56.82,,,,57.06,56.31,48.53,,,56.56,,56.51,,54.88,,54.93,
Papua New Guinea,,,,,,,,,,,,,,,,,,,50.88,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,39.74,,,,,59.13,,,56.52,56.85,,,57.98,,,53.89,,53.24
Peru,,,,,,,,,45.72,,,,43.87,,,,44.87,,46.24,,,,,,54.65,,,51.97,49.55,
Philippines,,,,,,,,41.04,,,40.63,,,43.82,,,42.89,,,46.16,,,46.09,,,44.48,,,44.04,
Poland,,,,,,,,25.16,,25.53,,26.89,,,,32.39,,,32.66,,,33.08,,,34.05,,,34.92,,
Portugal,,,,,,,,,,,,,,,,,,,,38.454304,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,23.31,,,25.46,,28.2,,,,29.44,,30.25,,31.46,,,31.5,,
Russia,,,,,,,,,,,23.8,,,,,48.34,,,46.15,,,37.48,,,35.7,,,37.51,,
Rwanda,,,,,,,,28.9,,,,,,,,,,,,,,,46.68,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,42.58,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,54.14,,,,41.44,,,,,,41.25,,,,39.19,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,62.87,,,,,,,,,,,,,42.52,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,42.47570866,,,,,,,,,
Slovak Republic,,,,,,,,,,,19.54,,,,19.49,,,,25.81,,,,,,,,,,,
Slovenia,,,,,,,,,,23.6,,,,,,29.18,,,,,28.41,,,,29.15,,31.15,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,59.33,,56.59,,,,,57.77,,,,,,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,34.6612,,,,,,,
Sri Lanka,,,,,,,,32.47,,,,,,32.48,,,,,35.41,,,,,,41.06,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,52.88,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,60.65,,,,,,50.68,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,33.682,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,31.52,,,,32.62,33.61,,,
Tanzania,,,,,,,,,,,,,,,33.83,,,,,,,,34.62,,,,,,,
Thailand,,,,45.22,,,,,,,43.84,,,,46.22,,,,43.39,,,43.53,,,41.96,,42.45,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,39.52,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.41,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,42.6,,,,40.27,,,,,,,,,,,,,,,
Tunisia,,,,,,,,43.43,,,,,40.24,,,,,41.66,,,,,40.81,,,,,,,
Turkey,,,,,,,,,,43.57,,,,,,,41.53,,,,,,,,42.71,,,43.23,,
Turkmenistan,,,,,,,,,,,26.17,,,,,35.38,,,,,40.77,,,,,,,,,
Uganda,,,,,,,,,,,,44.36,,,42.62,,,,37.13,,,43.07,,,45.77,,,42.62,,
Ukraine,,,,,,,,,,,23.31,,,,25.71,,,,35.12,,,28.96,,,28.28,,,28.21,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,35.97368472,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,40.81,,,,,,,
Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,42.16,,,,43.76,,45.18,,44.56,44.96,,,,44.94,46.24,
Uzbekistan,,,,,,,,,,,24.95,,,,,,,,,,45.35,,,,34.55,36.72,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,55.82,,,,,,53.45,,44.08,,,,41.68,,,48.79,,49.53,,,,,48.2,,47.61,43.44,
Vietnam,,,,,,,,,,,,,,,,35.68,,,,,35.52,,,,37.55,,39.16,,37.77,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,39.45,,,,,,33.44,,,,,,,37.69,,
Zambia,,,,,,,,,,,,,,60.46,,52.61,,,49.79,,53.44,,,,,42.08,50.74,,,
Zimbabwe,,,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,,
